Dominio;Evento;Datos;Ubicación;Fecha;Velocidad;Latitud;Longitud;
"AA599MH";"Tiempo de conducción continua excedido";"";"S/N a 8.78 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:51:13";"0";"-38,9048";"-68,09495";""
"AA599MH";"Contacto OFF";"";"S/N a 8.78 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:50:06";"0";"-38,9048";"-68,09495";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.78 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:49:41";"0";"-38,9048";"-68,09495";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.78 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:49:10";"5";"-38,90487";"-68,0949";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.82 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:48:41";"7";"-38,90533";"-68,09462";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.86 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:48:10";"11";"-38,90599";"-68,09414";""
"AA599MH";"Cambio de curso";"";"S/N a 8.88 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:48:02";"10";"-38,90621";"-68,09398";""
"AA599MH";"Cambio de curso";"";"S/N a 8.89 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:47:57";"10";"-38,90634";"-68,09396";""
"AA599MH";"Cambio de curso";"";"S/N a 8.91 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:47:53";"11";"-38,90642";"-68,09405";""
"AA599MH";"Fin de detenido";"";"S/N a 8.91 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:47:51";"11";"-38,90643";"-68,09409";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.90 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:47:41";"9";"-38,90623";"-68,0942";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.83 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:47:10";"6";"-38,90555";"-68,09449";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.79 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:46:40";"0";"-38,90488";"-68,09501";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.78 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:46:11";"0";"-38,90481";"-68,09507";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.78 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:45:41";"0";"-38,90481";"-68,09507";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.78 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:45:11";"0";"-38,90481";"-68,09507";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.78 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:44:40";"0";"-38,90481";"-68,09507";""
"AA599MH";"Inicio de detenido";" | 00:03:35";"S/N a 8.78 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:44:16";"0";"-38,90481";"-68,09507";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.78 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:44:11";"0";"-38,90481";"-68,09507";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.78 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:43:41";"0";"-38,90481";"-68,09507";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.78 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:43:11";"0";"-38,90481";"-68,09507";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.78 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:42:40";"0";"-38,90481";"-68,09507";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.78 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:42:11";"6";"-38,90474";"-68,09512";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.74 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:41:41";"10";"-38,90417";"-68,09551";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.70 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:41:10";"9";"-38,90352";"-68,09597";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.65 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:40:40";"12";"-38,90284";"-68,09645";""
"AA599MH";"Reporte por tiempo";"";"S/N a 8.60 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:40:11";"11";"-38,90205";"-68,09701";""
"AA599MH";"Cambio de curso";"";"S/N a 8.58 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:39:59";"10";"-38,90176";"-68,09717";""
"AA599MH";"Cambio de curso";"";"S/N a 8.57 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:39:54";"10";"-38,90162";"-68,09728";""
"AA599MH";"Reporte por tiempo";"";"Trabajadores de la Industria a 8.68 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:39:40";"42";"-38,90193";"-68,09832";""
"AA599MH";"Reporte por tiempo";"";"Trabajadores de la Industria a 9.17 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:39:10";"55";"-38,90453";"-68,10129";""
"AA599MH";"Fin de detenido";"";"Trabajadores de la Industria a 9.31 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:39:03";"55";"-38,90549";"-68,10176";""
"AA599MH";"Reporte por tiempo";"";"Trabajadores de la Industria a 9.65 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:38:39";"28";"-38,90776";"-68,1029";""
"AA599MH";"Reporte por tiempo";"";"Trabajadores de la Industria a 9.80 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:38:09";"8";"-38,90879";"-68,10338";""
"AA599MH";"Contacto ON";"";"Trabajadores de la Industria a 9.87 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:37:43";"0";"-38,90929";"-68,1036";""
"AA599MH";"Inicio de detenido";" | 00:06:44";"Trabajadores de la Industria a 9.87 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:32:19";"0";"-38,9093";"-68,10359";""
"AA599MH";"Contacto OFF";"";"Trabajadores de la Industria a 9.87 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:30:42";"0";"-38,90931";"-68,10359";""
"AA599MH";"Reporte por tiempo";"";"Trabajadores de la Industria a 9.87 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:30:27";"0";"-38,90929";"-68,10358";""
"AA599MH";"Cambio de curso";"";"Trabajadores de la Industria a 9.88 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:30:08";"7";"-38,9094";"-68,10361";""
"AA599MH";"Reporte por tiempo";"";"Trabajadores de la Industria a 9.93 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:29:57";"17";"-38,90971";"-68,10383";""
"AA599MH";"Cambio de curso";"";"Conquistadores del Desierto a 9.97 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:29:45";"18";"-38,91017";"-68,10365";""
"AA599MH";"Cambio de curso";"";"Conquistadores del Desierto a 10.00 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:29:40";"20";"-38,91041";"-68,10365";""
"AA599MH";"Reporte por tiempo";"";"Conquistadores del Desierto a 10.08 km Neuquen, Confluencia,Neuquén,Argentina ";"2019-05-26 16:29:26";"21";"-38,91059";"-68,10456";""
"AA599MH";"Reporte por tiempo";"";"Conquistadores del Desierto a 10.26 km Cinco Esquinas, Confluencia,Neuquén,Argentina ";"2019-05-26 16:28:56";"51";"-38,91042";"-68,10737";""
